id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Leon;Kiehn;Dandre.Runte53@yahoo.com;overconfidently doing nippy;2024-10-31T11:26:35;25374;7360
2;Novella;Cummerata;Hermina93@yahoo.com;doubter;2024-10-31T06:12:53;11730;25333
3;Gerry;Hirthe;Nakia.Lakin@hotmail.com;for quick;2024-10-31T20:37:16;4333;7951
4;Mallory;Legros;Aaliyah_Wiegand@gmail.com;nervously after;2024-10-31T03:39:09;23787;32300
5;Vicente;Shields;Ian_Renner14@gmail.com;bah;2024-10-31T16:00:12;18549;6358
6;Ernestine;Kutch;Sally_Feeney53@gmail.com;big damaged;2024-10-31T10:17:48;19563;8931
7;Presley;Runolfsson;Dylan5@hotmail.com;down hype freely;2024-10-31T09:51:03;27518;3984
8;Eugenia;Maggio;Kelton_Runte-Mertz87@hotmail.com;yahoo by excluding;2024-10-31T04:14:18;31961;22311
9;Jorge;Russel;Leatha.Armstrong47@hotmail.com;patiently;2024-10-31T19:00:10;21891;10753
10;Major;Pagac;Sven_Mosciski@yahoo.com;adventurously overconfidently;2024-10-31T04:16:42;14273;11768
